Wall time,Step,Value
1765831507.8915417,430571520,238.98239135742188
1765831519.7769828,431013888,239.84243774414062
1765831530.9118261,431456256,237.8330078125
1765831569.1353085,432930816,239.99703979492188
1765831641.6859396,435585024,239.6179656982422
1765831653.2054565,436027392,239.07418823242188
1765831679.5930617,437059584,239.84474182128906
1765831691.5453382,437501952,238.5701446533203
1765831699.8171606,437796864,239.87815856933594
1765831723.1340477,438681600,239.38011169433594
1765831777.4746733,440598528,239.51953125
1765831816.6529586,442073088,239.93411254882812
1765831828.3331625,442515456,238.35910034179688
1765831841.0766218,442957824,239.85983276367188
1765831873.8869958,444137472,239.94332885742188
1765831909.5110824,445464576,239.87025451660156
1765831968.2683961,447676416,239.25216674804688
1765832022.1311157,449593344,237.49798583984375
1765832164.9843717,454901760,239.47393798828125
1765832168.791241,455049216,239.83074951171875
1765832215.935504,456818688,239.10723876953125
1765832243.3539176,457850880,238.9995574951172
1765832247.2349012,457998336,239.98794555664062
1765832251.2564857,458145792,239.62181091308594
1765832274.7138915,459030528,239.45266723632812
1765832290.4327793,459620352,239.79991149902344
1765832307.4867282,460210176,239.49212646484375
1765832311.8885002,460357632,239.64862060546875
1765832316.4220107,460505088,239.11978149414062
1765832336.5297894,461242368,239.4710235595703
1765832344.2997992,461537280,238.20306396484375
1765832411.9308856,464044032,238.21932983398438
1765832522.746398,468172800,239.82040405273438
1765832542.5142176,468910080,239.79736328125
1765832578.4798265,470237184,239.6825408935547
1765832591.1450884,470679552,239.81561279296875
1765832598.4638338,470974464,239.6629638671875
1765832625.190865,472006656,239.483154296875
1765832644.4687607,472743936,239.9060516357422
1765832689.8632367,474513408,239.97903442382812
1765832693.707717,474660864,240.0
1765832705.5414798,475103232,239.26361083984375
1765832713.1257308,475398144,239.92982482910156
1765832740.2480617,476430336,239.75686645507812
1765832786.8138132,478199808,239.98988342285156
1765832794.7355006,478494720,239.66845703125
1765832883.388327,481738752,239.31092834472656
1765832895.066571,482181120,239.9071044921875
1765833015.806299,486604800,239.02365112304688
1765833048.2971761,487784448,238.654296875
1765833186.27901,492797952,239.36016845703125
1765833206.579139,493535232,239.05569458007812
1765833251.2277281,495157248,239.59225463867188
1765833286.2226508,496484352,239.60667419433594
1765833313.539735,497516544,239.35888671875
1765833321.506558,497811456,239.71397399902344
1765833333.085028,498253824,240.0
1765833340.8109577,498548736,238.59165954589844
1765833359.968703,499286016,237.95431518554688
1765833364.1753705,499433472,239.244140625
1765833395.2545693,500613120,239.8992156982422
1765833438.9207387,502235136,239.75711059570312
1765833454.3542,502824960,239.56431579589844
1765833492.8120222,504299520,239.59866333007812
1765833508.3823333,504889344,239.8874969482422
1765833523.6505265,505479168,239.98977661132812
1765833553.858904,506658816,239.37130737304688
1765833573.9872837,507396096,239.82054138183594
1765833633.8117468,509607936,239.53582763671875
1765833664.8972235,510640128,239.82823181152344
1765833693.555417,511672320,239.030029296875
1765833749.0866091,513736704,238.81021118164062
1765833753.1779757,513884160,239.67335510253906
1765833757.1263132,514031616,238.98126220703125
1765833761.110603,514179072,238.98828125
1765833786.0247746,515063808,238.24855041503906
1765833794.0615952,515358720,238.9541473388672
1765833823.1824298,516390912,239.81065368652344
1765833835.223968,516833280,239.54000854492188
1765833880.8832378,518455296,239.49658203125
1765833927.5321748,520224768,238.48472595214844
1765833962.9752963,521551872,238.82321166992188
1765833998.376389,522878976,239.5694122314453
1765834022.3495803,523763712,238.88380432128906
1765834054.8463302,524943360,239.76307678222656
1765834087.0226882,526123008,239.08914184570312
1765834099.3695695,526565376,239.1986083984375
1765834123.8082054,527450112,239.88722229003906
1765834127.9606774,527597568,238.09732055664062
1765834173.4232347,529219584,239.8848114013672
1765834177.5590413,529367040,239.5340118408203
1765834226.307904,531136512,239.9032440185547
1765834278.47571,533053440,239.68063354492188
1765834282.6397197,533200896,237.82257080078125
1765834286.5859654,533348352,239.08905029296875
1765834290.7278233,533495808,239.14439392089844
1765834346.1184175,535560192,239.53564453125
1765834439.9115262,539099136,237.91575622558594
1765834452.183052,539541504,240.00001525878906
1765834460.5700138,539836416,239.68763732910156
1765834468.786037,540131328,238.42955017089844
1765834480.7299428,540573696,239.57814025878906
1765834496.0400338,541163520,239.30252075195312
1765834508.1352856,541605888,239.86932373046875
1765834511.8393378,541753344,238.92124938964844
1765834582.9401674,544407552,239.3740997314453
1765834622.167075,545882112,239.34825134277344
1765834669.486032,547651584,239.03036499023438
1765834688.971752,548388864,240.0
1765834692.794791,548536320,239.7061004638672
1765834748.4329784,550600704,239.3851318359375
1765834799.742173,552517632,239.624267578125
1765834803.769437,552665088,239.6722869873047
1765834811.7602582,552960000,239.35311889648438
1765834815.7738175,553107456,238.7481231689453
1765834828.0159245,553549824,239.5234375
1765834832.0103996,553697280,237.9643096923828
1765834836.1435065,553844736,239.70700073242188
1765834864.4870296,554876928,239.5399627685547
1765834872.3263395,555171840,239.31895446777344
1765834941.9014227,557678592,238.542724609375
1765834950.1741145,557973504,239.81982421875
1765834954.3187635,558120960,239.7195281982422
1765834969.92562,558710784,239.48095703125
1765834980.9651337,559153152,238.86341857910156
1765835074.7817504,562544640,239.56216430664062
1765835115.0366967,564019200,239.1567840576172
1765835177.9450586,566378496,239.6080780029297
1765835214.6729577,567705600,239.48976135253906
1765835222.6964014,568000512,238.94921875
1765835230.8423984,568295424,239.63134765625
1765835263.6519036,569475072,239.3016357421875
1765835300.6455233,570802176,239.78561401367188
1765835312.6259181,571244544,239.60281372070312
1765835434.0144832,575668224,239.64950561523438
1765835458.2982264,576552960,239.60446166992188
1765835469.7519507,576995328,239.93067932128906
1765835485.5529797,577585152,236.94485473632812
1765835509.4115753,578469888,239.3744354248047
1765835550.7448213,579944448,239.1791229248047
1765835559.2670937,580239360,239.4071807861328
1765835571.6643438,580681728,238.90101623535156
1765835639.2746847,583188480,239.51954650878906
1765835654.7311022,583778304,240.0
1765835691.368095,585105408,239.2792205810547
1765835728.0190353,586432512,238.99038696289062
1765835751.9404497,587317248,239.6055145263672
1765835773.0438707,588054528,239.1724090576172
1765835796.818439,588939264,239.5135040283203
1765835861.5914385,591298560,238.51034545898438
1765835878.202877,591888384,239.593994140625
1765835886.5166078,592183296,238.28134155273438
1765835922.7532601,593510400,239.69259643554688
1765835942.3801568,594247680,237.4940948486328
1765835966.0191374,595132416,239.41282653808594
1765835990.8451247,596017152,239.25637817382812
1765836019.668284,597049344,239.33645629882812
1765836175.2073045,602505216,238.018310546875
1765836191.5715673,603095040,238.41644287109375
1765836207.1284077,603684864,236.29673767089844
1765836277.381406,606191616,238.79920959472656
1765836301.8101873,607076352,239.5863800048828
1765836326.8412008,607961088,239.68617248535156
1765836339.1973002,608403456,237.75146484375
1765836432.449367,611647488,238.94610595703125
1765836461.5240245,612679680,236.39845275878906
1765836473.4702888,613122048,239.5443115234375
1765836518.4165077,614744064,239.33181762695312
1765836560.5950625,616218624,240.0
1765836564.8486133,616366080,238.800537109375
1765836577.567316,616808448,239.5743865966797
1765836625.1838827,618430464,238.4257049560547
1765836690.5068154,620642304,239.23361206054688
1765836748.3289373,622706688,238.1827850341797
1765836772.7396865,623591424,239.18869018554688
1765836780.6579363,623886336,239.60516357421875
1765836810.3263235,624918528,239.47958374023438
1765836852.2613769,626393088,238.8563995361328
1765836865.3224156,626835456,239.69891357421875
1765836878.581001,627277824,239.34934997558594
1765836882.9290528,627425280,239.82835388183594
1765836900.063872,628015104,240.0
1765836940.547114,629489664,238.86337280273438
1765836994.8298662,631406592,237.8308563232422
1765836999.1723332,631554048,239.2405242919922
1765837071.6488957,634060800,239.85423278808594
1765837116.0759764,635682816,238.89768981933594
1765837151.7332366,637009920,239.64376831054688
1765837172.5171666,637747200,239.4688262939453
1765837193.2885785,638484480,239.88504028320312
1765837219.5041082,639369216,239.87342834472656
1765837256.7708962,640696320,239.8778076171875
1765837325.2915285,643203072,239.79150390625
1765837389.7509549,645562368,239.0554656982422
1765837401.5484245,646004736,239.6693572998047
1765837462.824731,648364032,239.42982482910156
1765837496.3597388,649543680,239.1095428466797
1765837512.0369124,650133504,239.2119903564453
1765837524.1318169,650575872,238.81996154785156
1765837536.2842805,651018240,238.99972534179688
1765837540.4058068,651165696,239.01075744628906
1765837573.761422,652345344,239.06982421875
1765837581.971837,652640256,239.76368713378906
1765837627.7520444,654262272,237.95176696777344
1765837659.699546,655441920,239.1322479248047
1765837704.581804,657063936,239.1667938232422
1765837719.677364,657653760,237.82313537597656
1765837751.1473844,658833408,239.3090362548828
1765837843.8380675,662224896,238.51690673828125
1765837867.762804,663109632,239.698974609375
1765837884.3683093,663699456,238.43556213378906
1765837943.0207329,665911296,239.72561645507812
1765837966.5232534,666796032,239.8897247314453
1765837978.7796824,667238400,239.9786834716797
1765837986.9647696,667533312,237.85812377929688
1765838014.440953,668565504,239.6935272216797
1765838025.9356256,669007872,239.83425903320312
1765838042.4320655,669597696,238.30531311035156
1765838058.4664326,670187520,238.6887664794922
1765838062.4414787,670334976,239.74009704589844
1765838133.7042906,672989184,239.4794158935547
1765838142.0770686,673284096,239.50718688964844
1765838158.3560343,673873920,239.78976440429688
1765838182.843886,674758656,239.4971160888672
1765838215.1679485,675938304,239.0209197998047
1765838257.0434272,677412864,239.88827514648438
1765838315.6433866,679477248,239.6396026611328
1765838327.8663783,679919616,239.3861846923828
1765838339.8992944,680361984,238.7522430419922
1765838469.2610776,685080576,239.1336669921875
1765838488.8565776,685817856,239.04598999023438
1765838492.9257834,685965312,239.81069946289062
1765838508.5975704,686555136,239.58511352539062
1765838525.4350574,687144960,239.70179748535156
1765838529.8321562,687292416,239.27499389648438
1765838542.6096845,687734784,239.980712890625
1765838562.2937953,688472064,239.699951171875
1765838607.0496113,690094080,238.9691619873047
1765838639.1993742,691273728,239.8409881591797
1765838655.648373,691863552,239.6004180908203
1765838663.723125,692158464,238.96536254882812
1765838688.306279,693043200,239.70692443847656
1765838722.1692774,694222848,238.85006713867188
1765838725.968401,694370304,239.88980102539062
1765838749.5676007,695255040,239.1769256591797
1765838761.428153,695697408,239.9783935546875
1765838818.0071707,697761792,239.60243225097656
1765838846.10933,698793984,240.00001525878906
1765838934.713539,702038016,239.2369842529297
1765838962.379631,703070208,239.53128051757812
1765838985.5582592,703954944,239.92056274414062
1765839002.4128864,704544768,239.87332153320312
1765839006.6715508,704692224,240.0
1765839057.7585833,706609152,239.98309326171875
1765839113.9656348,708673536,238.99041748046875
1765839125.8987367,709115904,239.98468017578125
1765839137.4854152,709558272,239.11927795410156
1765839145.4170969,709853184,238.352783203125
1765839153.7049108,710148096,238.89805603027344
1765839218.5782964,712507392,239.94232177734375
1765839226.327519,712802304,239.81993103027344
1765839234.742277,713097216,238.82778930664062
1765839239.0631256,713244672,239.5211639404297
1765839243.4807293,713392128,239.6181640625
1765839271.2096066,714424320,239.9165496826172
1765839275.1008244,714571776,239.9126739501953
1765839349.9103572,717225984,239.79408264160156
1765839428.1781235,720175104,239.97378540039062
1765839481.8808196,722092032,239.16995239257812
1765839535.0681891,724008960,237.55487060546875
1765839543.0080302,724303872,239.63047790527344
1765839618.8898065,727105536,237.94029235839844
1765839635.4196553,727695360,238.43896484375
1765839664.4463098,728727552,237.8130340576172
1765839680.8663554,729317376,239.49522399902344
1765839701.1774747,730054656,238.5651092529297
1765839827.1642985,734625792,238.97573852539062
1765839867.749953,736100352,238.33853149414062
1765839871.3885906,736247808,239.47198486328125
1765840002.6096613,740966400,239.66448974609375
1765840102.1678817,744505344,239.2898712158203
1765840152.2020636,746274816,239.3524627685547
1765840160.5063455,746569728,239.63345336914062
1765840181.95882,747307008,239.77796936035156
1765840221.780009,748781568,239.160888671875
1765840233.1908293,749223936,239.28097534179688
1765840237.1244051,749371392,238.3975067138672
1765840270.39651,750551040,239.6004638671875
1765840278.7876995,750845952,238.3577880859375
1765840300.5220625,751583232,238.85142517089844
1765840454.9213321,757039104,239.9568634033203
1765840471.9751074,757628928,238.10340881347656
1765840489.0261,758218752,238.38864135742188
1765840518.8465934,759250944,239.6341552734375
1765840536.3119478,759840768,239.63612365722656
1765840540.5500882,759988224,239.60122680664062
1765840549.2328875,760283136,239.65689086914062
1765840553.4458325,760430592,239.7289581298828
1765840602.72718,762200064,239.3214569091797
1765840639.5078506,763527168,238.08363342285156
1765840685.4687872,765149184,239.6513671875
1765840732.0907233,766771200,238.69833374023438
1765840740.7234256,767066112,239.50572204589844
1765840762.1041288,767803392,238.2544708251953
1765840770.554493,768098304,238.5459747314453
1765840791.8143063,768835584,239.62112426757812
1765840817.1587107,769720320,239.07923889160156
