playtime target_pos(x) target_pos(y) target_pos(z) current_pos(x) current_pos(y) current_pos(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
9.062 0.25 0.28 0.65 0.554564 0.000310772 0.623678 0.000929521 -0.00157922  0.00164151    -1.57288 0.000286766     1.56999    0.787887
9.063 0.25 0.28 0.65 0.554558 0.000323453 0.623678 0.000955194 -0.00163878  0.00168685    -1.57292 0.000295781     1.56997    0.787955
9.064 0.25 0.28 0.65 0.554552 0.000336445 0.623679 0.000981207 -0.00169913  0.00173279    -1.57297 0.000304915     1.56995    0.788025
9.065 0.25 0.28 0.65 0.554546 0.000349751 0.623679  0.00100756 -0.00176026  0.00177933    -1.57301 0.000314168     1.56993    0.788096
9.066 0.25 0.28 0.65 0.55454 0.000363372 0.62368  0.00103425 -0.00182219  0.00182647    -1.57306 0.000323541     1.56991    0.788167
9.067 0.25 0.28 0.65 0.554534 0.000377311 0.623681  0.00106129  -0.0018849  0.00187421     -1.5731 0.000333033     1.56989    0.788239
9.068 0.25 0.28 0.65 0.554528 0.00039157 0.623681  0.00108866 -0.00194839  0.00192255    -1.57315 0.000342644     1.56987    0.788313
9.069 0.25 0.28 0.65 0.554521 0.000406153 0.623682  0.00111637 -0.00201268  0.00197149     -1.5732 0.000352374     1.56985    0.788387
9.07 0.25 0.28 0.65 0.554514 0.000421061 0.623684  0.00114442 -0.00207775  0.00202102    -1.57324 0.000362223     1.56983    0.788462
9.071 0.25 0.28 0.65 0.554507 0.000436297 0.623685  0.00117281  -0.0021436  0.00207115    -1.57329 0.000372191     1.56981    0.788538
9.072 0.25 0.28 0.65 0.5545 0.000451863 0.623686  0.00120153 -0.00221024  0.00212188    -1.57334 0.000382277     1.56979    0.788615
9.073 0.25 0.28 0.65 0.554493 0.000467761 0.623688   0.0012306 -0.00227765   0.0021732    -1.57339 0.000392482     1.56977    0.788693
9.074 0.25 0.28 0.65 0.554485 0.000483994 0.623689  0.00125999 -0.00234586  0.00222512    -1.57344 0.000402805     1.56975    0.788771
9.075 0.25 0.28 0.65 0.554478 0.000500564 0.623691  0.00128973 -0.00241484  0.00227764    -1.57349 0.000413246     1.56973    0.788851
9.076 0.25 0.28 0.65 0.55447 0.000517472 0.623693   0.0013198  -0.0024846  0.00233074    -1.57354 0.000423805      1.5697    0.788932
9.077 0.25 0.28 0.65 0.554462 0.000534722 0.623695  0.00135021 -0.00255514  0.00238444    -1.57359 0.000434482     1.56968    0.789013
9.078 0.25 0.28 0.65 0.554454 0.000552315 0.623697  0.00138095 -0.00262646  0.00243874    -1.57364 0.000445277     1.56966    0.789095
9.079 0.25 0.28 0.65 0.554445 0.000570253 0.623699  0.00141203 -0.00269855  0.00249362    -1.57369 0.000456189     1.56964    0.789178
9.08 0.25 0.28 0.65 0.554437 0.000588539 0.623701  0.00144345 -0.00277142   0.0025491    -1.57374 0.000467219     1.56961    0.789263
