playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z obstacle_x obstacle_y obstacle_z distance_norm q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
10.809 0.3 -0.012 0.52 -0.0172574 -0.000193856 0.82352 0.15 -0.012 0.65 0.241296 -1.54929e-05 -1.05915 -0.000298347 -1.60734 -0.000527263 0.549796 -0.0194359
10.81 0.3 -0.012 0.52 -0.0171403 -0.000200706 0.823328 0.15 -0.012 0.65 0.241076 -1.67261e-05 -1.05945 -0.000305381 -1.60828 -0.000557239 0.549992 -0.0194365
10.811 0.3 -0.012 0.52 -0.0170227 -0.00020761 0.823134 0.15 -0.012 0.65 0.240855 -1.80088e-05 -1.05977 -0.000312494 -1.60922 -0.000587379 0.550193 -0.0194371
10.812 0.3 -0.012 0.52 -0.0169045 -0.000214568 0.82294 0.15 -0.012 0.65 0.240633 -1.93409e-05 -1.06008 -0.000319686 -1.61017 -0.000617678 0.550396 -0.0194378
10.813 0.3 -0.012 0.52 -0.0167857 -0.000221578 0.822744 0.15 -0.012 0.65 0.24041 -2.07224e-05 -1.0604 -0.000326956 -1.61113 -0.000648129 0.550604 -0.0194384
10.814 0.3 -0.012 0.52 -0.0166665 -0.000228638 0.822547 0.15 -0.012 0.65 0.240185 -2.21532e-05 -1.06071 -0.000334302 -1.61209 -0.000678726 0.550814 -0.019439
10.815 0.3 -0.012 0.52 -0.0165468 -0.000235749 0.82235 0.15 -0.012 0.65 0.23996 -2.36332e-05 -1.06103 -0.000341724 -1.61305 -0.000709463 0.551028 -0.0194396
10.816 0.3 -0.012 0.52 -0.0164266 -0.000242908 0.822151 0.15 -0.012 0.65 0.239733 -2.51622e-05 -1.06136 -0.00034922 -1.61402 -0.000740335 0.551246 -0.0194402
10.817 0.3 -0.012 0.52 -0.016306 -0.000250114 0.821952 0.15 -0.012 0.65 0.239506 -2.67403e-05 -1.06168 -0.00035679 -1.61499 -0.000771335 0.551467 -0.0194408
10.818 0.3 -0.012 0.52 -0.0161849 -0.000257367 0.821751 0.15 -0.012 0.65 0.239278 -2.83672e-05 -1.06201 -0.000364433 -1.61597 -0.000802459 0.551691 -0.0194414
10.819 0.3 -0.012 0.52 -0.0160635 -0.000264665 0.82155 0.15 -0.012 0.65 0.239048 -3.00427e-05 -1.06234 -0.000372147 -1.61696 -0.000833701 0.551919 -0.019442
10.82 0.3 -0.012 0.52 -0.0159416 -0.000272007 0.821348 0.15 -0.012 0.65 0.238818 -3.17666e-05 -1.06267 -0.000379932 -1.61794 -0.000865056 0.55215 -0.0194426
10.821 0.3 -0.012 0.52 -0.0158194 -0.000279393 0.821145 0.15 -0.012 0.65 0.238587 -3.35389e-05 -1.06301 -0.000387786 -1.61893 -0.000896519 0.552385 -0.0194432
10.822 0.3 -0.012 0.52 -0.0156968 -0.00028682 0.820941 0.15 -0.012 0.65 0.238356 -3.53591e-05 -1.06334 -0.00039571 -1.61993 -0.000928085 0.552623 -0.0194437
10.823 0.3 -0.012 0.52 -0.0155738 -0.000294289 0.820736 0.15 -0.012 0.65 0.238123 -3.72272e-05 -1.06368 -0.000403701 -1.62093 -0.000959748 0.552864 -0.0194443
10.824 0.3 -0.012 0.52 -0.0154506 -0.000301799 0.820531 0.15 -0.012 0.65 0.23789 -3.91429e-05 -1.06402 -0.00041176 -1.62193 -0.000991506 0.553108 -0.0194449
10.825 0.3 -0.012 0.52 -0.015327 -0.000309347 0.820325 0.15 -0.012 0.65 0.237656 -4.11059e-05 -1.06436 -0.000419885 -1.62294 -0.00102335 0.553356 -0.0194454
10.826 0.3 -0.012 0.52 -0.0152031 -0.000316934 0.820118 0.15 -0.012 0.65 0.237421 -4.3116e-05 -1.06471 -0.000428075 -1.62395 -0.00105528 0.553607 -0.019446
10.827 0.3 -0.012 0.52 -0.0150789 -0.000324559 0.819911 0.15 -0.012 0.65 0.237186 -4.51728e-05 -1.06505 -0.00043633 -1.62496 -0.0010873 0.553862 -0.0194465
10.828 0.3 -0.012 0.52 -0.0149544 -0.000332221 0.819703 0.15 -0.012 0.65 0.23695 -4.72762e-05 -1.0654 -0.000444649 -1.62598 -0.00111938 0.55412 -0.019447
10.829 0.3 -0.012 0.52 -0.0148297 -0.000339919 0.819494 0.15 -0.012 0.65 0.236713 -4.94259e-05 -1.06575 -0.000453031 -1.627 -0.00115155 0.554381 -0.0194476
10.83 0.3 -0.012 0.52 -0.0147047 -0.000347651 0.819285 0.15 -0.012 0.65 0.236476 -5.16215e-05 -1.0661 -0.000461475 -1.62803 -0.00118377 0.554645 -0.0194481
10.831 0.3 -0.012 0.52 -0.0145795 -0.000355419 0.819075 0.15 -0.012 0.65 0.236238 -5.38627e-05 -1.06646 -0.000469981 -1.62905 -0.00121607 0.554913 -0.0194486
