playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z obstacle_x obstacle_y obstacle_z distance_norm q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
9.491 0.3 -0.012 0.52 -0.013189 -0.00044358 0.816733 0.15 -0.012 0.65 0.23359 -8.0876e-05 -1.07045 -0.000567041 -1.64052 -0.00158071 0.558064 -0.019899
9.492 0.3 -0.012 0.52 -0.0130615 -0.000451698 0.816517 0.15 -0.012 0.65 0.233346 -8.36365e-05 -1.07082 -0.000576224 -1.64157 -0.00161348 0.558369 -0.0198994
9.493 0.3 -0.012 0.52 -0.012934 -0.000459842 0.816301 0.15 -0.012 0.65 0.233103 -8.6438e-05 -1.07119 -0.000585461 -1.64263 -0.00164629 0.558677 -0.0198998
9.494 0.3 -0.012 0.52 -0.0128063 -0.000468011 0.816085 0.15 -0.012 0.65 0.232858 -8.92803e-05 -1.07157 -0.00059475 -1.64369 -0.00167911 0.558988 -0.0199002
9.495 0.3 -0.012 0.52 -0.0126784 -0.000476205 0.815868 0.15 -0.012 0.65 0.232614 -9.21631e-05 -1.07194 -0.000604091 -1.64475 -0.00171195 0.559302 -0.0199006
9.496 0.3 -0.012 0.52 -0.0125505 -0.000484424 0.815651 0.15 -0.012 0.65 0.232369 -9.50859e-05 -1.07232 -0.000613484 -1.64582 -0.00174482 0.559618 -0.0199009
9.497 0.3 -0.012 0.52 -0.0124224 -0.000492666 0.815434 0.15 -0.012 0.65 0.232124 -9.80483e-05 -1.0727 -0.000622928 -1.64688 -0.00177769 0.559938 -0.0199013
9.498 0.3 -0.012 0.52 -0.0122943 -0.000500932 0.815216 0.15 -0.012 0.65 0.231879 -0.00010105 -1.07308 -0.000632422 -1.64795 -0.00181058 0.560261 -0.0199017
9.499 0.3 -0.012 0.52 -0.012166 -0.00050922 0.814998 0.15 -0.012 0.65 0.231634 -0.000104091 -1.07346 -0.000641966 -1.64902 -0.00184348 0.560587 -0.019902
9.5 0.3 -0.012 0.52 -0.0120376 -0.000517531 0.814779 0.15 -0.012 0.65 0.231388 -0.000107171 -1.07384 -0.000651559 -1.65009 -0.00187638 0.560916 -0.0199024
9.501 0.3 -0.012 0.52 -0.0119092 -0.000525863 0.814561 0.15 -0.012 0.65 0.231142 -0.000110288 -1.07422 -0.000661202 -1.65116 -0.00190929 0.561247 -0.0199027
9.502 0.3 -0.012 0.52 -0.0117806 -0.000534217 0.814342 0.15 -0.012 0.65 0.230895 -0.000113444 -1.07461 -0.000670893 -1.65223 -0.00194221 0.561581 -0.0199031
9.503 0.3 -0.012 0.52 -0.011652 -0.000542592 0.814123 0.15 -0.012 0.65 0.230649 -0.000116638 -1.07499 -0.000680632 -1.65331 -0.00197512 0.561919 -0.0199034
9.504 0.3 -0.012 0.52 -0.0115233 -0.000550987 0.813903 0.15 -0.012 0.65 0.230402 -0.000119868 -1.07538 -0.000690419 -1.65438 -0.00200804 0.562259 -0.0199037
9.505 0.3 -0.012 0.52 -0.0113945 -0.000559403 0.813683 0.15 -0.012 0.65 0.230155 -0.000123136 -1.07577 -0.000700253 -1.65546 -0.00204095 0.562601 -0.019904
9.506 0.3 -0.012 0.52 -0.0112656 -0.000567838 0.813463 0.15 -0.012 0.65 0.229908 -0.00012644 -1.07615 -0.000710134 -1.65654 -0.00207386 0.562947 -0.0199043
9.507 0.3 -0.012 0.52 -0.0111367 -0.000576293 0.813243 0.15 -0.012 0.65 0.22966 -0.00012978 -1.07654 -0.000720062 -1.65762 -0.00210676 0.563295 -0.0199046
9.508 0.3 -0.012 0.52 -0.0110077 -0.000584766 0.813023 0.15 -0.012 0.65 0.229413 -0.000133156 -1.07693 -0.000730035 -1.6587 -0.00213966 0.563647 -0.0199049
9.509 0.3 -0.012 0.52 -0.0108787 -0.000593258 0.812802 0.15 -0.012 0.65 0.229165 -0.000136568 -1.07732 -0.000740054 -1.65978 -0.00217254 0.564001 -0.0199052
9.51 0.3 -0.012 0.52 -0.0107496 -0.000601768 0.812581 0.15 -0.012 0.65 0.228917 -0.000140015 -1.07772 -0.000750118 -1.66086 -0.00220541 0.564357 -0.0199054
9.511 0.3 -0.012 0.52 -0.0106204 -0.000610296 0.81236 0.15 -0.012 0.65 0.228669 -0.000143497 -1.07811 -0.000760227 -1.66194 -0.00223827 0.564716 -0.0199057
9.512 0.3 -0.012 0.52 -0.0104912 -0.000618842 0.812139 0.15 -0.012 0.65 0.228421 -0.000147014 -1.0785 -0.000770381 -1.66303 -0.00227112 0.565078 -0.0199059
9.513 0.3 -0.012 0.52 -0.0103619 -0.000627404 0.811917 0.15 -0.012 0.65 0.228172 -0.000150565 -1.0789 -0.000780578 -1.66411 -0.00230395 0.565443 -0.0199062
9.514 0.3 -0.012 0.52 -0.0102326 -0.000635983 0.811696 0.15 -0.012 0.65 0.227924 -0.000154149 -1.0793 -0.000790819 -1.6652 -0.00233676 0.56581 -0.0199064
9.515 0.3 -0.012 0.52 -0.0101032 -0.000644579 0.811474 0.15 -0.012 0.65 0.227675 -0.000157767 -1.07969 -0.000801104 -1.66629 -0.00236955 0.56618 -0.0199066
9.516 0.3 -0.012 0.52 -0.00997379 -0.000653191 0.811252 0.15 -0.012 0.65 0.227426 -0.000161419 -1.08009 -0.000811432 -1.66737 -0.00240232 0.566553 -0.0199069
9.517 0.3 -0.012 0.52 -0.00984433 -0.000661818 0.81103 0.15 -0.012 0.65 0.227177 -0.000165104 -1.08049 -0.000821802 -1.66846 -0.00243506 0.566928 -0.0199071
9.518 0.3 -0.012 0.52 -0.00971483 -0.000670461 0.810807 0.15 -0.012 0.65 0.226928 -0.000168821 -1.08089 -0.000832215 -1.66955 -0.00246779 0.567306 -0.0199073
