playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
11.158 0.554701 0.0197591 0.62483 0.554735 0.00922511 0.62484 -0.173735 -0.00115985 0.189519 -1.57262 0.0038014 1.57725 0.0321994
11.159 0.554701 0.0197591 0.62483 0.554736 0.00936487 0.624841 -0.178789 -0.00115067 0.194823 -1.57261 0.00379799 1.57725 0.0322111
11.16 0.554701 0.0197591 0.62483 0.554737 0.00950355 0.624841 -0.183893 -0.00114145 0.200176 -1.5726 0.00379456 1.57725 0.0322226
11.161 0.554701 0.0197591 0.62483 0.554738 0.00964113 0.624841 -0.189048 -0.00113219 0.205577 -1.57258 0.00379112 1.57725 0.0322339
11.162 0.554701 0.0197591 0.62483 0.554739 0.00977758 0.624842 -0.194251 -0.0011229 0.211024 -1.57257 0.00378766 1.57725 0.032245
11.163 0.554701 0.0197591 0.62483 0.55474 0.00991289 0.624842 -0.199501 -0.00111359 0.216516 -1.57256 0.0037842 1.57725 0.032256
11.164 0.554701 0.0197591 0.62483 0.554741 0.010047 0.624842 -0.204796 -0.00110425 0.222052 -1.57254 0.00378073 1.57725 0.0322668
11.165 0.554701 0.0197591 0.62483 0.554742 0.01018 0.624843 -0.210136 -0.00109491 0.22763 -1.57253 0.00377726 1.57725 0.0322774
11.166 0.554701 0.0197591 0.62483 0.554743 0.0103118 0.624843 -0.215518 -0.00108555 0.233249 -1.57252 0.00377379 1.57725 0.0322879
11.167 0.554701 0.0197591 0.62483 0.554744 0.0104424 0.624843 -0.220942 -0.00107619 0.238907 -1.5725 0.00377032 1.57725 0.0322983
11.168 0.554701 0.0197591 0.62483 0.554745 0.0105718 0.624843 -0.226407 -0.00106683 0.244603 -1.57249 0.00376685 1.57725 0.0323084
11.169 0.554701 0.0197591 0.62483 0.554746 0.0106999 0.624844 -0.23191 -0.00105748 0.250336 -1.57248 0.0037634 1.57725 0.0323184
11.17 0.554701 0.0197591 0.62483 0.554747 0.0108268 0.624844 -0.23745 -0.00104815 0.256104 -1.57247 0.00375995 1.57725 0.0323283
11.171 0.554701 0.0197591 0.62483 0.554747 0.0109525 0.624844 -0.243027 -0.00103883 0.261906 -1.57245 0.00375652 1.57724 0.032338
11.172 0.554701 0.0197591 0.62483 0.554748 0.0110769 0.624845 -0.248638 -0.00102954 0.26774 -1.57244 0.00375311 1.57724 0.0323476
11.173 0.554701 0.0197591 0.62483 0.554749 0.0112 0.624845 -0.254283 -0.00102028 0.273605 -1.57243 0.00374971 1.57724 0.0323571
