playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
11.14 0.3 -0.012 0.52 -0.01258 -0.00118925 0.81492 0.00199888 -1.07474 -0.00133338 -1.64953 -0.00461744 0.561223 0.0301114
11.141 0.3 -0.012 0.52 -0.0124514 -0.00119718 0.814701 0.00203245 -1.07512 -0.00134214 -1.65061 -0.00464858 0.561557 0.0302503
11.142 0.3 -0.012 0.52 -0.0123227 -0.00120515 0.814481 0.00206578 -1.07551 -0.00135105 -1.65169 -0.00467965 0.561893 0.0303871
11.143 0.3 -0.012 0.52 -0.0121939 -0.00121316 0.814262 0.00209885 -1.0759 -0.0013601 -1.65276 -0.00471062 0.562233 0.0305219
11.144 0.3 -0.012 0.52 -0.012065 -0.0012212 0.814042 0.00213166 -1.07629 -0.00136929 -1.65384 -0.00474151 0.562575 0.0306547
11.145 0.3 -0.012 0.52 -0.011936 -0.00122928 0.813822 0.0021642 -1.07668 -0.00137862 -1.65492 -0.00477232 0.56292 0.0307854
11.146 0.3 -0.012 0.52 -0.011807 -0.0012374 0.813601 0.00219647 -1.07707 -0.00138809 -1.656 -0.00480303 0.563268 0.030914
11.147 0.3 -0.012 0.52 -0.0116779 -0.00124554 0.813381 0.00222847 -1.07746 -0.0013977 -1.65709 -0.00483366 0.563618 0.0310405
11.148 0.3 -0.012 0.52 -0.0115488 -0.00125372 0.81316 0.00226019 -1.07786 -0.00140743 -1.65817 -0.0048642 0.563972 0.0311648
11.149 0.3 -0.012 0.52 -0.0114196 -0.00126194 0.812939 0.00229162 -1.07825 -0.00141731 -1.65926 -0.00489466 0.564328 0.0312871
11.15 0.3 -0.012 0.52 -0.0112903 -0.00127018 0.812717 0.00232278 -1.07864 -0.00142731 -1.66034 -0.00492502 0.564687 0.0314072
11.151 0.3 -0.012 0.52 -0.011161 -0.00127846 0.812496 0.00235364 -1.07904 -0.00143744 -1.66143 -0.0049553 0.565048 0.0315252
11.152 0.3 -0.012 0.52 -0.0110317 -0.00128677 0.812274 0.00238421 -1.07944 -0.00144769 -1.66252 -0.00498549 0.565412 0.0316411
11.153 0.3 -0.012 0.52 -0.0109023 -0.0012951 0.812052 0.00241449 -1.07984 -0.00145807 -1.66361 -0.00501559 0.565779 0.0317548
11.154 0.3 -0.012 0.52 -0.0107728 -0.00130347 0.81183 0.00244447 -1.08023 -0.00146857 -1.6647 -0.00504561 0.566148 0.0318663
11.155 0.3 -0.012 0.52 -0.0106433 -0.00131186 0.811608 0.00247415 -1.08063 -0.0014792 -1.66579 -0.00507553 0.56652 0.0319757
11.156 0.3 -0.012 0.52 -0.0105138 -0.00132028 0.811386 0.00250353 -1.08103 -0.00148994 -1.66688 -0.00510538 0.566895 0.032083
11.157 0.3 -0.012 0.52 -0.0103842 -0.00132873 0.811163 0.0025326 -1.08144 -0.00150079 -1.66797 -0.00513513 0.567272 0.0321881
11.158 0.3 -0.012 0.52 -0.0102546 -0.0013372 0.81094 0.00256137 -1.08184 -0.00151177 -1.66906 -0.0051648 0.567652 0.032291
11.159 0.3 -0.012 0.52 -0.010125 -0.0013457 0.810718 0.00258984 -1.08224 -0.00152285 -1.67016 -0.00519439 0.568034 0.0323918
11.16 0.3 -0.012 0.52 -0.0099953 -0.00135422 0.810495 0.00261799 -1.08264 -0.00153404 -1.67125 -0.00522389 0.568419 0.0324905
11.161 0.3 -0.012 0.52 -0.00986559 -0.00136277 0.810271 0.00264584 -1.08305 -0.00154535 -1.67234 -0.0052533 0.568806 0.032587
11.162 0.3 -0.012 0.52 -0.00973585 -0.00137134 0.810048 0.00267338 -1.08345 -0.00155675 -1.67344 -0.00528263 0.569196 0.0326813
11.163 0.3 -0.012 0.52 -0.00960608 -0.00137993 0.809825 0.0027006 -1.08386 -0.00156827 -1.67454 -0.00531188 0.569588 0.0327736
11.164 0.3 -0.012 0.52 -0.00947629 -0.00138854 0.809601 0.00272752 -1.08427 -0.00157988 -1.67563 -0.00534105 0.569983 0.0328637
11.165 0.3 -0.012 0.52 -0.00934646 -0.00139718 0.809378 0.00275412 -1.08467 -0.0015916 -1.67673 -0.00537014 0.57038 0.0329517
11.166 0.3 -0.012 0.52 -0.00921661 -0.00140583 0.809154 0.00278041 -1.08508 -0.00160341 -1.67783 -0.00539914 0.57078 0.0330376
11.167 0.3 -0.012 0.52 -0.00908674 -0.00141451 0.80893 0.00280639 -1.08549 -0.00161532 -1.67892 -0.00542807 0.571182 0.0331214
11.168 0.3 -0.012 0.52 -0.00895684 -0.0014232 0.808706 0.00283206 -1.0859 -0.00162732 -1.68002 -0.00545691 0.571586 0.0332032
11.169 0.3 -0.012 0.52 -0.00882691 -0.00143192 0.808482 0.00285742 -1.08631 -0.00163942 -1.68112 -0.00548568 0.571993 0.0332828
