playtime target_pos_ee(x) target_pos_ee(y) target_pos_ee(z) current_pos_ee(x) current_pos_ee(y) current_pos_ee(z) target_pos_link4(x) target_pos_link4(y) target_pos_link4(z) current_pos_link4(x) current_pos_link4(y) current_pos_link4(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
8.085 0.35 0.28 0.7 0.554672 2.58654e-05 0.623705 0 -0.15 0.5 0.082741 4.45583e-06 0.648937 0.000175009 0.000230956 0.000177063    -1.57149 9.25913e-05     1.57027    0.785395
8.086 0.35 0.28 0.7 0.554672 2.7778e-05 0.623702 0 -0.15 0.5 0.0827412 4.72643e-06 0.648937 0.000182117 0.000216753 0.000184281     -1.5715 9.87188e-05     1.57026    0.785395
8.087 0.35 0.28 0.7 0.554672 2.97646e-05 0.623698 0 -0.15 0.5 0.0827414 5.00722e-06 0.648937 0.000189364 0.000202266 0.000191639    -1.57151 0.000104996     1.57025    0.785395
8.088 0.35 0.28 0.7 0.554671 3.18263e-05 0.623695 0 -0.15 0.5 0.0827414 5.29835e-06 0.648937 0.000196749 0.000187496  0.00019914    -1.57152 0.000111423     1.57023    0.785395
8.089 0.35 0.28 0.7 0.554671 3.39642e-05 0.623692 0 -0.15 0.5 0.0827415 5.59998e-06 0.648937 0.000204272 0.000172443 0.000206782    -1.57153 0.000118002     1.57022    0.785395
8.09 0.35 0.28 0.7 0.55467 3.61794e-05 0.623689 0 -0.15 0.5 0.0827414 5.91223e-06 0.648937 0.000211933 0.000157107 0.000214565    -1.57154 0.000124733     1.57021    0.785395
8.091 0.35 0.28 0.7 0.55467 3.84729e-05 0.623686 0 -0.15 0.5 0.0827414 6.23526e-06 0.648937 0.000219732 0.000141488 0.000222489    -1.57155 0.000131616     1.57019    0.785395
8.092 0.35 0.28 0.7 0.554669 4.08457e-05 0.623683 0 -0.15 0.5 0.0827412 6.5692e-06 0.648937 0.000227669 0.000125586 0.000230554    -1.57156 0.000138652     1.57018    0.785395
8.093 0.35 0.28 0.7 0.554668 4.3299e-05 0.62368 0 -0.15 0.5 0.0827411 6.91419e-06 0.648937 0.000235743 0.000109401  0.00023876    -1.57157 0.000145842     1.57016    0.785395
8.094 0.35 0.28 0.7 0.554667 4.58336e-05 0.623677 0 -0.15 0.5 0.0827408 7.27037e-06 0.648937 0.000243955 9.29342e-05 0.000247107    -1.57158 0.000153187     1.57015    0.785395
8.095 0.35 0.28 0.7 0.554666 4.84506e-05 0.623675 0 -0.15 0.5 0.0827405 7.63787e-06 0.648937 0.000252304 7.61848e-05 0.000255594    -1.57159 0.000160687     1.57013    0.785395
8.096 0.35 0.28 0.7 0.554666 5.11511e-05 0.623672 0 -0.15 0.5 0.0827402 8.01682e-06 0.648937  0.00026079  5.9153e-05 0.000264221     -1.5716 0.000168343     1.57011    0.785395
8.097 0.35 0.28 0.7 0.554665 5.39359e-05 0.623669 0 -0.15 0.5 0.0827398 8.40735e-06 0.648937 0.000269413 4.18391e-05 0.000272989    -1.57161 0.000176156      1.5701    0.785395
8.098 0.35 0.28 0.7 0.554664 5.68061e-05 0.623667 0 -0.15 0.5 0.0827393 8.8096e-06 0.648937 0.000278172 2.42431e-05 0.000281896    -1.57162 0.000184127     1.57008    0.785395
8.099 0.35 0.28 0.7 0.554662 5.97626e-05 0.623664 0 -0.15 0.5 0.0827388 9.22368e-06 0.648938 0.000287069 6.36533e-06 0.000290944    -1.57163 0.000192256     1.57007    0.785395
8.1 0.35 0.28 0.7 0.554661 6.28063e-05 0.623662 0 -0.15 0.5 0.0827382 9.64973e-06 0.648938  0.000296102 -1.17942e-05  0.000300131     -1.57164  0.000200544      1.57005     0.785395
8.101 0.35 0.28 0.7 0.55466 6.59382e-05 0.623659 0 -0.15 0.5 0.0827376 1.00879e-05 0.648938  0.000305271 -3.02354e-05  0.000309457     -1.57166  0.000208991      1.57003     0.785395
8.102 0.35 0.28 0.7 0.554659 6.91592e-05 0.623657 0 -0.15 0.5 0.0827369 1.05382e-05 0.648938 0.000314577 -4.8958e-05 0.000318923    -1.57167 0.000217599     1.57001    0.785395
8.103 0.35 0.28 0.7 0.554657 7.24702e-05 0.623655 0 -0.15 0.5 0.0827362 1.10009e-05 0.648938 0.000324018 -6.7962e-05 0.000328527    -1.57168 0.000226367        1.57    0.785395
8.104 0.35 0.28 0.7 0.554656 7.5872e-05 0.623653 0 -0.15 0.5 0.0827353 1.1476e-05 0.648938  0.000333596 -8.72471e-05  0.000338271     -1.57169  0.000235298      1.56998     0.785395
8.105 0.35 0.28 0.7 0.554654 7.93657e-05 0.62365 0 -0.15 0.5 0.0827345 1.19636e-05 0.648939  0.000343309 -0.000106813  0.000348154      -1.5717  0.000244391      1.56996     0.785395
8.106 0.35 0.28 0.7 0.554653 8.2952e-05 0.623648 0 -0.15 0.5 0.0827336 1.2464e-05 0.648939 0.000353158 -0.00012666 0.000358175    -1.57172 0.000253647     1.56994    0.785395
8.107 0.35 0.28 0.7 0.554651 8.66318e-05 0.623646 0 -0.15 0.5 0.0827326 1.29771e-05 0.648939  0.000363143 -0.000146788  0.000368334     -1.57173  0.000263067      1.56992     0.785395
8.108 0.35 0.28 0.7 0.554649 9.0406e-05 0.623644 0 -0.15 0.5 0.0827315 1.35032e-05 0.648939  0.000373263 -0.000167196  0.000378632     -1.57174  0.000272651       1.5699     0.785395
8.109 0.35 0.28 0.7 0.554647 9.42754e-05 0.623642 0 -0.15 0.5 0.0827304 1.40422e-05 0.64894  0.000383519 -0.000187885  0.000389068     -1.57175  0.000282401      1.56988     0.785395
8.11 0.35 0.28 0.7 0.554646 9.82408e-05 0.623641 0 -0.15 0.5 0.0827293 1.45944e-05 0.64894  0.000393909 -0.000208854  0.000399641     -1.57177  0.000292317      1.56986     0.785395
8.111 0.35 0.28 0.7 0.554644 0.000102303 0.623639 0 -0.15 0.5 0.082728 1.51598e-05 0.64894  0.000404435 -0.000230102  0.000410353     -1.57178    0.0003024      1.56984     0.785395
8.112 0.35 0.28 0.7 0.554642 0.000106463 0.623637 0 -0.15 0.5 0.0827268 1.57385e-05 0.648941  0.000415095 -0.000251631  0.000421201     -1.57179   0.00031265      1.56982     0.785395
8.113 0.35 0.28 0.7 0.554639 0.000110721 0.623636 0 -0.15 0.5 0.0827254 1.63307e-05 0.648941 0.000425891 -0.00027344 0.000432188    -1.57181 0.000323068      1.5698    0.785395
8.114 0.35 0.28 0.7 0.554637 0.000115079 0.623634 0 -0.15 0.5 0.082724 1.69363e-05 0.648941  0.000436821 -0.000295528  0.000443311     -1.57182  0.000333655      1.56978     0.785395
8.115 0.35 0.28 0.7 0.554635 0.000119537 0.623632 0 -0.15 0.5 0.0827225 1.75557e-05 0.648942  0.000447885 -0.000317895  0.000454571     -1.57184  0.000344411      1.56976     0.785395
8.116 0.35 0.28 0.7 0.554633 0.000124095 0.623631 0 -0.15 0.5 0.082721 1.81887e-05 0.648942  0.000459085 -0.000340542  0.000465968     -1.57185  0.000355338      1.56974     0.785395
8.117 0.35 0.28 0.7 0.55463 0.000128755 0.62363 0 -0.15 0.5 0.0827194 1.88356e-05 0.648943  0.000470418 -0.000363468  0.000477501     -1.57186  0.000366435      1.56972     0.785395
8.118 0.35 0.28 0.7 0.554628 0.000133518 0.623628 0 -0.15 0.5 0.0827178 1.94965e-05 0.648943  0.000481886 -0.000386672  0.000489171     -1.57188  0.000377704       1.5697     0.785395
8.119 0.35 0.28 0.7 0.554625 0.000138383 0.623627 0 -0.15 0.5 0.082716 2.01713e-05 0.648944  0.000493487 -0.000410156  0.000500977     -1.57189  0.000389146      1.56967     0.785395
8.12 0.35 0.28 0.7 0.554623 0.000143352 0.623626 0 -0.15 0.5 0.0827143 2.08603e-05 0.648944  0.000505223 -0.000433917  0.000512919     -1.57191   0.00040076      1.56965     0.785395
8.121 0.35 0.28 0.7 0.55462 0.000148426 0.623625 0 -0.15 0.5 0.0827124 2.15635e-05 0.648944  0.000517092 -0.000457957  0.000524996     -1.57192  0.000412549      1.56963     0.785395
8.122 0.35 0.28 0.7 0.554617 0.000153605 0.623623 0 -0.15 0.5 0.0827105 2.22809e-05 0.648945  0.000529096 -0.000482275  0.000537209     -1.57194  0.000424511      1.56961     0.785395
8.123 0.35 0.28 0.7 0.554614 0.000158889 0.623622 0 -0.15 0.5 0.0827085 2.30128e-05 0.648945  0.000541233 -0.000506872  0.000549558     -1.57195  0.000436649      1.56958     0.785395
8.124 0.35 0.28 0.7 0.554611 0.000164281 0.623621 0 -0.15 0.5 0.0827065 2.37591e-05 0.648946  0.000553503 -0.000531745  0.000562041     -1.57197  0.000448963      1.56956     0.785395
8.125 0.35 0.28 0.7 0.554608 0.000169779 0.623621 0 -0.15 0.5 0.0827044 2.452e-05 0.648947  0.000565907 -0.000556897   0.00057466     -1.57199  0.000461453      1.56953     0.785395
8.126 0.35 0.28 0.7 0.554605 0.000175386 0.62362 0 -0.15 0.5 0.0827022 2.52956e-05 0.648947  0.000578444 -0.000582325  0.000587413       -1.572  0.000474121      1.56951     0.785395
8.127 0.35 0.28 0.7 0.554602 0.000181101 0.623619 0 -0.15 0.5 0.0827 2.60859e-05 0.648948  0.000591115 -0.000608031    0.0006003     -1.57202  0.000486966      1.56949     0.785395
8.128 0.35 0.28 0.7 0.554599 0.000186925 0.623618 0 -0.15 0.5 0.0826977 2.6891e-05 0.648948  0.000603919 -0.000634014  0.000613322     -1.57203   0.00049999      1.56946     0.785395
8.129 0.35 0.28 0.7 0.554596 0.000192859 0.623617 0 -0.15 0.5 0.0826953 2.7711e-05 0.648949  0.000616855 -0.000660274  0.000626478     -1.57205  0.000513194      1.56944     0.785395
8.13 0.35 0.28 0.7 0.554592 0.000198904 0.623617 0 -0.15 0.5 0.0826929 2.85459e-05 0.64895 0.000629925 -0.00068681 0.000639768    -1.57207 0.000526577     1.56941    0.785395
8.131 0.35 0.28 0.7 0.554589 0.00020506 0.623616 0 -0.15 0.5 0.0826904 2.93959e-05 0.64895  0.000643128 -0.000713623  0.000653191     -1.57208  0.000540141      1.56938     0.785395
8.132 0.35 0.28 0.7 0.554585 0.000211328 0.623616 0 -0.15 0.5 0.0826878 3.02611e-05 0.648951  0.000656463 -0.000740711  0.000666748      -1.5721  0.000553887      1.56936     0.785395
8.133 0.35 0.28 0.7 0.554581 0.000217709 0.623615 0 -0.15 0.5 0.0826852 3.11414e-05 0.648952  0.000669931 -0.000768076  0.000680438     -1.57212  0.000567815      1.56933     0.785395
8.134 0.35 0.28 0.7 0.554578 0.000224202 0.623615 0 -0.15 0.5 0.0826825 3.20371e-05 0.648952  0.000683532 -0.000795716  0.000694261     -1.57213  0.000581926       1.5693     0.785395
8.135 0.35 0.28 0.7 0.554574 0.000230809 0.623615 0 -0.15 0.5 0.0826798 3.29481e-05 0.648953  0.000697265 -0.000823632  0.000708217     -1.57215   0.00059622      1.56928     0.785395
8.136 0.35 0.28 0.7 0.55457 0.00023753 0.623614 0 -0.15 0.5 0.0826769 3.38745e-05 0.648954   0.00071113 -0.000851823  0.000722305     -1.57217  0.000610698      1.56925     0.785395
