playtime q_target_4 q_joint_4 q_error_4 tau_desired_4 q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
42.284 -0.436332 -0.472971 0.0366382 3.36128 0.000731811 0.062049 0.000461879 -0.472971 -0.00260697 1.56212 3.41185e-05
42.285 -0.436332 -0.472943 0.0366103 3.38154 0.000730458 0.0624386 0.00045765 -0.472943 -0.00261586 1.5621 3.84037e-05
42.286 -0.436332 -0.472917 0.0365846 3.40182 0.000729068 0.0628285 0.000453382 -0.472917 -0.00262472 1.56207 4.26441e-05
42.287 -0.436332 -0.472894 0.0365612 3.42213 0.00072764 0.0632186 0.000449075 -0.472894 -0.00263354 1.56205 4.68399e-05
42.288 -0.436332 -0.472872 0.0365401 3.44246 0.000726176 0.0636089 0.000444732 -0.472872 -0.00264232 1.56202 5.09918e-05
42.289 -0.436332 -0.472853 0.0365211 3.46282 0.000724675 0.0639996 0.000440351 -0.472853 -0.00265106 1.562 5.51e-05
42.29 -0.436332 -0.472837 0.0365044 3.4832 0.000723139 0.0643905 0.000435934 -0.472837 -0.00265976 1.56198 5.91651e-05
42.291 -0.436332 -0.472822 0.0364899 3.50361 0.000721568 0.0647817 0.000431481 -0.472822 -0.00266843 1.56195 6.31874e-05
42.292 -0.436332 -0.47281 0.0364775 3.52404 0.000719963 0.0651731 0.000426993 -0.47281 -0.00267706 1.56193 6.71674e-05
42.293 -0.436332 -0.4728 0.0364673 3.54449 0.000718324 0.0655649 0.00042247 -0.4728 -0.00268566 1.5619 7.11054e-05
42.294 -0.436332 -0.472791 0.0364592 3.56497 0.000716652 0.0659569 0.000417912 -0.472791 -0.00269422 1.56188 7.50019e-05
42.295 -0.436332 -0.472786 0.0364532 3.58547 0.000714948 0.0663492 0.000413321 -0.472786 -0.00270275 1.56185 7.88573e-05
