playtime q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7 tau_desired_1 tau_desired_2 tau_desired_3 tau_desired_4 tau_desired_5 tau_desired_6 tau_desired_7
27.164 1.57719e-07 7.55597e-07 -6.65382e-06 -0.523597 1.74097e-05 1.5708 -0.00196667 -8.19816e-17 -12.6196 6.86419e-07 5.65313 0.398047 1.36411 -0.0459136
27.165 1.58507e-07 7.57501e-07 -6.65356e-06 -0.523597 1.74059e-05 1.5708 -0.00196662 -1.82383e-17 -12.6196 6.88149e-07 5.65313 0.398047 1.36411 -0.0459136
27.166 1.5929e-07 7.59409e-07 -6.6533e-06 -0.523597 1.74021e-05 1.5708 -0.00196657 1.12032e-16 -12.6196 6.89883e-07 5.65313 0.398047 1.36411 -0.0459136
27.167 1.60068e-07 7.61321e-07 -6.65305e-06 -0.523597 1.73984e-05 1.5708 -0.00196652 4.36557e-17 -12.6196 6.91619e-07 5.65313 0.398047 1.36411 -0.0459136
27.168 1.60842e-07 7.63236e-07 -6.65279e-06 -0.523597 1.73947e-05 1.5708 -0.00196647 1.63024e-17 -12.6196 6.93359e-07 5.65313 0.398047 1.36411 -0.0459136
27.169 1.6161e-07 7.65154e-07 -6.65254e-06 -0.523597 1.7391e-05 1.5708 -0.00196642 6.62665e-17 -12.6196 6.95102e-07 5.65313 0.398047 1.36411 -0.0459136
27.17 1.62374e-07 7.67076e-07 -6.65228e-06 -0.523597 1.73874e-05 1.5708 -0.00196637 -7.17427e-17 -12.6196 6.96847e-07 5.65313 0.398047 1.36411 -0.0459136
27.171 1.63133e-07 7.69e-07 -6.65203e-06 -0.523597 1.73838e-05 1.5708 -0.00196632 1.56466e-16 -12.6196 6.98595e-07 5.65313 0.398047 1.36411 -0.0459136
27.172 1.63887e-07 7.70927e-07 -6.65178e-06 -0.523597 1.73802e-05 1.5708 -0.00196628 3.1197e-17 -12.6196 7.00346e-07 5.65313 0.398047 1.36411 -0.0459136
27.173 1.64637e-07 7.72858e-07 -6.65153e-06 -0.523597 1.73767e-05 1.57081 -0.00196623 6.55597e-17 -12.6196 7.021e-07 5.65313 0.398047 1.36411 -0.0459136
27.174 1.65382e-07 7.7479e-07 -6.65128e-06 -0.523597 1.73732e-05 1.57081 -0.00196618 -8.86124e-17 -12.6196 7.03856e-07 5.65313 0.398047 1.36411 -0.0459136
27.175 1.66122e-07 7.76726e-07 -6.65103e-06 -0.523597 1.73697e-05 1.57081 -0.00196614 8.98455e-17 -12.6196 7.05614e-07 5.65313 0.398047 1.36411 -0.0459136
27.176 1.66858e-07 7.78664e-07 -6.65078e-06 -0.523597 1.73663e-05 1.57081 -0.00196609 -4.92119e-17 -12.6196 7.07375e-07 5.65313 0.398047 1.3641 -0.0459136
27.177 1.6759e-07 7.80605e-07 -6.65054e-06 -0.523597 1.73629e-05 1.57081 -0.00196605 -3.95504e-17 -12.6196 7.09138e-07 5.65313 0.398047 1.3641 -0.0459136
27.178 1.68316e-07 7.82548e-07 -6.65029e-06 -0.523597 1.73595e-05 1.57081 -0.001966 4.91966e-17 -12.6196 7.10903e-07 5.65313 0.398047 1.3641 -0.0459136
27.179 1.69039e-07 7.84493e-07 -6.65005e-06 -0.523597 1.73561e-05 1.57081 -0.00196596 9.31027e-18 -12.6196 7.1267e-07 5.65313 0.398047 1.3641 -0.0459136
27.18 1.69757e-07 7.8644e-07 -6.64981e-06 -0.523597 1.73528e-05 1.57081 -0.00196592 -1.02362e-16 -12.6196 7.14439e-07 5.65313 0.398047 1.3641 -0.0459136
27.181 1.7047e-07 7.8839e-07 -6.64957e-06 -0.523597 1.73495e-05 1.57081 -0.00196587 1.00866e-16 -12.6196 7.1621e-07 5.65313 0.398047 1.3641 -0.0459136
27.182 1.71179e-07 7.90341e-07 -6.64933e-06 -0.523597 1.73463e-05 1.57081 -0.00196583 -9.45829e-17 -12.6196 7.17983e-07 5.65313 0.398047 1.3641 -0.0459136
27.183 1.71884e-07 7.92295e-07 -6.64909e-06 -0.523597 1.73431e-05 1.57081 -0.00196579 6.02795e-17 -12.6196 7.19757e-07 5.65313 0.398047 1.3641 -0.0459136
27.184 1.72585e-07 7.9425e-07 -6.64885e-06 -0.523597 1.73399e-05 1.57081 -0.00196575 -4.033e-17 -12.6196 7.21534e-07 5.65313 0.398047 1.3641 -0.0459136
27.185 1.73281e-07 7.96207e-07 -6.64861e-06 -0.523597 1.73367e-05 1.57081 -0.00196571 3.7687e-17 -12.6196 7.23311e-07 5.65313 0.398047 1.3641 -0.0459136
27.186 1.73973e-07 7.98166e-07 -6.64838e-06 -0.523597 1.73336e-05 1.57081 -0.00196567 7.61483e-18 -12.6196 7.25091e-07 5.65313 0.398047 1.3641 -0.0459136
27.187 1.74661e-07 8.00126e-07 -6.64814e-06 -0.523597 1.73305e-05 1.57081 -0.00196563 3.38672e-17 -12.6196 7.26872e-07 5.65313 0.398047 1.3641 -0.0459137
27.188 1.75345e-07 8.02088e-07 -6.64791e-06 -0.523597 1.73274e-05 1.57081 -0.00196559 2.49515e-17 -12.6196 7.28654e-07 5.65313 0.398047 1.3641 -0.0459137
27.189 1.76024e-07 8.04051e-07 -6.64767e-06 -0.523597 1.73244e-05 1.57081 -0.00196555 -8.1199e-17 -12.6196 7.30437e-07 5.65313 0.398047 1.3641 -0.0459137
27.19 1.767e-07 8.06015e-07 -6.64744e-06 -0.523597 1.73213e-05 1.57081 -0.00196551 2.91976e-17 -12.6196 7.32222e-07 5.65313 0.398047 1.3641 -0.0459137
27.191 1.77371e-07 8.07981e-07 -6.64721e-06 -0.523597 1.73183e-05 1.57081 -0.00196547 -8.71491e-19 -12.6196 7.34007e-07 5.65313 0.398047 1.3641 -0.0459137
27.192 1.78038e-07 8.09948e-07 -6.64698e-06 -0.523597 1.73154e-05 1.57081 -0.00196543 1.45658e-16 -12.6196 7.35794e-07 5.65313 0.398047 1.3641 -0.0459137
27.193 1.78702e-07 8.11916e-07 -6.64675e-06 -0.523597 1.73124e-05 1.57081 -0.00196539 -2.99672e-17 -12.6196 7.37582e-07 5.65313 0.398047 1.3641 -0.0459137
27.194 1.79361e-07 8.13885e-07 -6.64652e-06 -0.523597 1.73095e-05 1.57081 -0.00196535 1.11358e-16 -12.6196 7.39371e-07 5.65313 0.398047 1.3641 -0.0459137
27.195 1.80016e-07 8.15855e-07 -6.64629e-06 -0.523597 1.73067e-05 1.57081 -0.00196532 1.36246e-16 -12.6196 7.4116e-07 5.65313 0.398047 1.3641 -0.0459137
27.196 1.80668e-07 8.17825e-07 -6.64607e-06 -0.523597 1.73038e-05 1.57081 -0.00196528 1.03584e-16 -12.6196 7.42951e-07 5.65313 0.398047 1.3641 -0.0459137
27.197 1.81316e-07 8.19797e-07 -6.64584e-06 -0.523597 1.7301e-05 1.57081 -0.00196524 7.4027e-17 -12.6196 7.44742e-07 5.65313 0.398047 1.3641 -0.0459137
27.198 1.81959e-07 8.21769e-07 -6.64562e-06 -0.523597 1.72982e-05 1.57081 -0.00196521 -4.53233e-17 -12.6196 7.46533e-07 5.65313 0.398047 1.3641 -0.0459137
27.199 1.82599e-07 8.23742e-07 -6.64539e-06 -0.523597 1.72954e-05 1.57081 -0.00196517 -4.76731e-17 -12.6196 7.48326e-07 5.65313 0.398047 1.3641 -0.0459137
27.2 1.83235e-07 8.25716e-07 -6.64517e-06 -0.523597 1.72926e-05 1.57081 -0.00196513 -8.40928e-17 -12.6196 7.50118e-07 5.65313 0.398047 1.3641 -0.0459137
27.201 1.83868e-07 8.2769e-07 -6.64495e-06 -0.523597 1.72899e-05 1.57081 -0.0019651 -9.6361e-17 -12.6196 7.51912e-07 5.65313 0.398047 1.3641 -0.0459137
27.202 1.84496e-07 8.29664e-07 -6.64473e-06 -0.523597 1.72872e-05 1.57081 -0.00196506 7.9386e-17 -12.6196 7.53705e-07 5.65313 0.398047 1.3641 -0.0459137
